Company Name,Company ID,Country,Contract ID,Previous Contract ID,Contract Start,Contract End,Subscription Tier,Price of Subscription
Harrington Group,C001,Malawi,f5f35df1-d36d-4209-9275-5083585f6690,,2024-10-28 13:01:20.783976,2026-08-09 13:01:20.783976,Tier 3,6000
Harrington Group,C001,Malawi,2976e4bb-5453-47b4-bb22-1c75335a8d81,f5f35df1-d36d-4209-9275-5083585f6690,2024-03-11 13:01:20.783976,2025-07-17 13:01:20.783976,Tier 3,6000
Harrington Group,C001,Malawi,f435406d-ad78-407f-bcd9-ece1f62767b9,2976e4bb-5453-47b4-bb22-1c75335a8d81,2024-06-30 13:01:20.783976,2027-04-06 13:01:20.783976,Tier 1,2000
Ponce PLC,C002,Zambia,17e62271-3825-47a3-bf0c-e3577ce462d1,,2024-12-12 13:01:20.783976,2026-12-21 13:01:20.783976,Tier 1,2000
Ponce PLC,C002,Zambia,474eb232-bf9b-4c73-bdf3-432bf97fdbf0,17e62271-3825-47a3-bf0c-e3577ce462d1,2023-05-18 13:01:20.783976,2026-03-01 13:01:20.783976,Tier 3,6000
Ponce PLC,C002,Zambia,603654ec-46f4-42a4-8520-311ccf962f38,474eb232-bf9b-4c73-bdf3-432bf97fdbf0,2022-03-27 13:01:20.783976,2024-12-18 13:01:20.783976,Tier 2,4000
"Fitzgerald, Buchanan and Kelly",C003,Mali,d57057b6-b1a9-47fb-a58e-0b76e7d62ce9,,2023-07-11 13:01:20.783976,2024-12-31 13:01:20.783976,Tier 1,1000
Rose and Sons,C004,Cocos (Keeling) Islands,bce72fdb-df64-4a5e-b316-6154cbdc7b11,,2022-08-30 13:01:20.783976,2024-03-04 13:01:20.783976,Tier 1,2000
Rose and Sons,C004,Cocos (Keeling) Islands,51cf58f6-0705-44e6-8dcc-ac5ed3773959,bce72fdb-df64-4a5e-b316-6154cbdc7b11,2021-11-28 13:01:20.783976,2024-06-22 13:01:20.783976,Tier 3,3000
"Roth, Riley and Martinez",C005,Angola,c08f175e-de2a-4a83-b465-d092ab22ac1b,,2023-09-14 13:01:20.783976,2025-09-11 13:01:20.783976,Tier 3,6000
"Roth, Riley and Martinez",C005,Angola,229da96d-9da7-48e6-819d-19e7c476eaf3,c08f175e-de2a-4a83-b465-d092ab22ac1b,2023-02-05 13:01:20.783976,2024-02-21 13:01:20.783976,Tier 2,2000
"Roth, Riley and Martinez",C005,Angola,db83e89f-4332-4e03-bcb4-f1ddaf55f4a7,229da96d-9da7-48e6-819d-19e7c476eaf3,2024-02-29 13:01:20.783976,2025-11-21 13:01:20.783976,Tier 2,2000
Henderson-White,C006,Denmark,826cc578-ccab-4283-9569-1042b360df73,,2023-06-05 13:01:20.783976,2024-08-25 13:01:20.783976,Tier 1,1000
Henderson-White,C006,Denmark,96dc4892-3bc1-461b-bc7b-adaa4ab3b732,826cc578-ccab-4283-9569-1042b360df73,2022-07-07 13:01:20.783976,2023-12-08 13:01:20.783976,Tier 3,3000
Henderson-White,C006,Denmark,d64fff71-3da4-430b-8b9f-aa0904e5c2e4,96dc4892-3bc1-461b-bc7b-adaa4ab3b732,2022-07-09 13:01:20.783976,2023-11-30 13:01:20.783976,Tier 1,500
Powell Inc,C007,Slovenia,3ebe1050-421f-4baf-b370-09d4c8343c94,,2021-12-25 13:01:20.783976,2024-08-12 13:01:20.783976,Tier 1,2000
"Lang, Dodson and Hicks",C008,Congo,9300c0aa-eb22-4a76-a1a3-a2714c7efe2a,,2023-06-11 13:01:20.783976,2024-09-07 13:01:20.783976,Tier 2,1000
"Lang, Dodson and Hicks",C008,Congo,01ca7890-a57f-4fed-8992-5905055cf7ca,9300c0aa-eb22-4a76-a1a3-a2714c7efe2a,2020-01-10 13:01:20.783976,2021-08-09 13:01:20.783976,Tier 2,1000
Lewis PLC,C009,Malta,8a601a70-ff05-4fc1-a5ea-aa82a028a6e7,,2020-11-20 13:01:20.783976,2022-12-26 13:01:20.783976,Tier 3,3000
Lewis PLC,C009,Malta,97f603da-e5e1-4e45-886f-aa2e1764c915,8a601a70-ff05-4fc1-a5ea-aa82a028a6e7,2024-08-07 13:01:20.783976,2026-08-10 13:01:20.783976,Tier 2,1000
